Projet,Titre du projet,Descriptif,Année,Date d'Approbation Prévue,Date de Début Prévue,Date de Fin Prévue,Date d'Approbation Effective,Date de Début Effective,Date de Fin Effective,Agence de financement,Source de Financement,Agence d'Exécution (1er Niveau),Coût du Projet (USD),Engagement de GdB (USD),Décaissement du GdB (USD),Région,Province,Commune,A l’Echelle National,Secteur,Sous-Secteur,ADM2 Geonames Matches,ADM1 Geonames Matches,Country Geonames Match
BDI/000001,Programme de Pays 2011-2014 (CP 200119),,2011; 2012; 2013; 2014,2010-11-15,2011-01-01,2016-12-31,2010-11-15,2011-01-01,2016-12-31,Programme Alimentaire Mondial; Suisse; Multilateral Grant,Nations Unies; Suisse,"Ministère de la Solidarité Nationale, des Droits de la Personnes Humaine et du Genre; Programme Alimentaire Mondial","43,578,323",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AIDE HUMANITAIRE,Intervention d’urgence,,"'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000002,Intervention prolongée,,Imprévu; 2011,,,2012-12-31,2011-01-17,2011-01-01,,Central Emergency Response Fund; ECHO; Japon; Suisse; United States Agency for International Development,Commission de l'Union Européenne; États Unis d'Amérique; Japon; Nations Unies; Suisse,Agence d'Exécution de 1er Niveau non défini,"12,342,428",,,Non spécifié,Non spécifié,Non spécifié,Non,AIDE HUMANITAIRE,Intervention d’urgence,,,"'Republic of Burundi', 433561"
BDI/000003,Appui à la sécurité,,Imprévu; 2012; 2013; 2014; 2015,,,2015-12-31,,2012-02-01,,Pays Bas,Pays-Bas,Agence d'Exécution de 1er Niveau non défini,"17,001,020",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,"Prévention et règlement des conflits, paix et sécurité",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000004,"Programme de Développement du secteur de la Sécurité , Phase II (APD)",,Imprévu; 2012; 2013,,,2013-12-31,,2012-01-01,,Pays Bas,Pays-Bas,Agence d'Exécution de 1er Niveau non défini,"14,450,867",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,"Prévention et règlement des conflits, paix et sécurité",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000005,"Programme de Développement du Secteur de la sécurité, PhaseI(APD)",,Imprévu; 2009; 2011,,,2012-07-31,,2009-01-03,,Pays Bas,Pays-Bas,Agence d'Exécution de 1er Niveau non défini,"9,951,861",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Prévention et règlement des conflits, paix et sécurité",,,"'Republic of Burundi', 433561"
BDI/000006,Planning Familial (Vulnerables),,Imprévu; 2009; 2011,,,2012-09-30,2009-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"1,000,000",,,Nord,Kayanza; Muyinga,Non spécifié,Non,POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,Planification familiale,,"'Kayanza Province', 430951; 'Muyinga Province', 431747","'Republic of Burundi', 433561"
BDI/000007,Strengthening Burundian sanitary and phyto-sanitary control systems,,Imprévu; 2011; 2012,2011-09-26,2011-09-30,2012-09-30,2011-01-09,2011-09-30,2012-09-30,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"500,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AGRICULTURE,Recherche agronomique,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000009,New Generation,,Imprévu; 2010; 2011; 2012,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"1,200,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000010,Democracy and Human Rights Fund,,Imprévu; 2010; 2011; 2012; 2013,,,2012-09-30,2010-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"600,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Droits de la personne,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000011,Returnee Stabilization,,Imprévu; 2011; 2012,,,2012-09-30,2011-01-09,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"1,000,000",,,Sud,Rutana; Makamba,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits",,"'Rutana Province', 434147; 'Makamba Province', 422233","'Republic of Burundi', 433561"
