Project,Title,Agreement Date,Start Date Planned,Start Date Actual,End Date Planned,End Date Actual,Year,Sector,Focus Area,Zone,State,LGA,Funding Source,Funding Agencies,Implementer,Project Cost (USD),Committed (USD),Disbursed (USD),Autocoder ADM2 Geonames Matches,Autocoder ADM1 Geonames Matches,Autocoder Country Geonames Match
NGA/000085,Employment-Oriented Private Sector Development,,01/09/2003,01/09/2003,31/03/2011,31/03/2011, Unplanned; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011,Agriculture; Finance; Health,  Unspecified; HIV/AIDS; Rural and Agricultural Finance,North Central ,Nasarawa; Niger; Plateau,  Unspecified,BMZ,BMZ, Unspecified,"26,576,577",,,,"'Nasarawa State', '2595348'; 'Niger State', '2328925'; 'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000088,Africa Stockpiles Program,,23/03/2005,23/03/2005,31/07/2009,31/03/2009, Unplanned; 2005; 2006; 2007; 2008; 2009,Agriculture; Energy and Environment; Health,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Canada,Canada,World Bank,"2,723,630","2,613,013","435,502",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000089,Methodological Frame for Quality Statistical Products,,01/03/2011,,31/03/2011,,2011,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP, Unspecified,,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000091,Strengthening Women and Girls Rights,,01/07/2009,01/07/2009,30/06/2012,30/06/2012, Unplanned; 2009; 2010; 2011; 2012,Women's Empowerment,  Unspecified,North Central ,Plateau,  Unspecified,BMZ,BMZ,GTZ,"2,000,000",,,,"'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000093,National Microfinance Development Strategy,03/03/2011,23/03/2011,,23/12/2011,, Unplanned; 2011,Finance,  Unspecified,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP, Unspecified,"164,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000094,NGA/T10 Promoting Ethics and Transparency in Business Transactions in Nigeria,,01/03/2008,01/03/2008,30/04/2011,30/04/2011, Unplanned; 2008; 2009; 2010; 2011,Government,Anticorruption Enforcement,North Central ; South Western,"Federal Capital Territory, Abuja; Lagos",AbujaMun; LagosIsland,Netherlands,Netherlands,United Nations Office on Drugs & Crime (UNODC),"699,500","699,470","699,470","'Lagos Island Local Government Area', '9485476'","'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000095,Canada Fund for Local Initiatives (CFLI) - Nigeria - 2010-2011,14/04/2010,27/04/2010,30/04/2010,31/03/2011,31/03/2011,2010; 2011,Energy and Environment; Health; Women's Empowerment,  Unspecified; Reproductive Health; Other,North Eastern ; North Central ; South Western; South South,"Bauchi; Cross River; Federal Capital Territory, Abuja; Lagos; Taraba",Darazo; Dass; Gamawa; Tafawa-B; Akamkpa; Ogoja; Abaji; AbujaMun; Kuje; Ikorodu; Surulere; Kurmi,Canada,Canada,Canada,"348,402","348,402","342,753","'Darazo', '7729992'; 'Dass', '8634267'; 'Gamawa', '8634305'; 'Akamkpa', '8638548'; 'Ogoja', '7932500'; 'Abaji', '8634966'; 'Kuje', '8634971'; 'Ikorodu', '7644922'; 'Surulere', '7730073'; 'Surulere', '7932526'; 'Kurmi', '8659784'","'Bauchi State', '2347468'; 'Cross River State', '2345891'; 'Lagos State', '2332453'; 'Taraba State', '2597366'","'Federal Republic of Nigeria', '2328926'"
NGA/000097,UNFPA Country Programme of Assistance to the Government and people of Nigeria,01/12/2008,01/01/2009,01/04/2009,31/12/2012,31/12/2013,2009; 2010; 2011; 2012; 2013,Health,Reproductive Health; Other,North Eastern ; North Western; North Central ; South Eastern; South Western; South South,"Abia; Adamawa; Akwa Ibom; Benue; Borno; Ebonyi; Federal Capital Territory, Abuja; Imo; Kaduna; Kebbi; Lagos; Ogun; Sokoto",  Unspecified,United Nations,UNFPA,UNFPA,0,,,,"'Abia State', '2565340'; 'Adamawa State', '2565342'; 'Akwa Ibom State', '2350813'; 'Benue State', '2347266'; 'Borno State', '2346794'; 'Ebonyi State', '2595345'; 'Imo State', '2337542'; 'Kaduna State', '2335722'; 'Kebbi State', '2597363'; 'Lagos State', '2332453'; 'Ogun State', '2327546'; 'Sokoto State', '2322907'","'Federal Republic of Nigeria', '2328926'"
NGA/000098,INCREASED RURAL INCOMES AND JOBS IN ASSISTED AREAS,15/09/2010,15/09/2010,15/09/2010,30/09/2013,30/09/2013, Unplanned; 2010; 2011; 2012; 2013,Agriculture; Energy and Environment; Trade and Investment,  Unspecified; Agricultural sector Productivity; Energy Efficiency and Cleaner Production Techniques,North Eastern ; North Western,Bauchi; Sokoto,  Unspecified; Bauchi,US Government ,US Government, Unspecified,"40,000,000",,,"'Bauchi', '7729984'","'Bauchi State', '2347468'; 'Sokoto State', '2322907'","'Federal Republic of Nigeria', '2328926'"
NGA/000099,NGA/T97 Partnership with Bayelsa State: Bayelsa Expenditure and Income Transparency Initiative (BEITI) and Judicial Integrity Action Programme (JIA),,01/01/2010,01/01/2010,31/12/2013,,2010; 2011; 2012; 2013,Government,Judicial Independence and Accountability,South South,Bayelsa,Yenegoa,Netherlands,Netherlands,United Nations Office on Drugs & Crime (UNODC),"3,600,171","1,338,244","1,338,244","'Yenegoa', '8638087'","'Bayelsa State', '2595344'","'Federal Republic of Nigeria', '2328926'"
