Project ID,Toolkit Locations Found by Autocoder,All Toolkit Locations,All Autocoder Locations,Percentage Correct of Locations Found by Autocoder,Percentage Incorrect of Locations Found by Autocoder
NGA/000085,2595348,"2324828, 2328925, 2595348",2595348,100.0,0.0
NGA/000088,2328926,2328926,2328926,100.0,0.0
NGA/000089,2328926,2328926,2328926,100.0,0.0
NGA/000091,2324828,2324828,2324828,100.0,0.0
NGA/000093,2328926,2328926,2328926,100.0,0.0
NGA/000094,,"7873903, 8051232",2328926,0.0,100.0
NGA/000095,"7644922, 7729992, 7932500, 7932526, 8634267, 8634305, 8634966, 8634971, 8638548, 8659784","7644922, 7729992, 7932500, 7932526, 8051232, 8634267, 8634305, 8634314, 8634966, 8634971, 8638548, 8659784","7644922, 7729992, 7730073, 7932500, 7932526, 8634267, 8634305, 8634966, 8634971, 8638548, 8659784",90.91,9.09
NGA/000097,2565340,"2322907, 2327546, 2332453, 2335722, 2337542, 2346794, 2347266, 2350813, 2352776, 2565340, 2565342, 2595345, 2597363",2565340,100.0,0.0
NGA/000098,7729984,"2322907, 2347468, 7729984",7729984,100.0,0.0
NGA/000099,8638087,8638087,8638087,100.0,0.0
NGA/000100,,8051232,2328926,0.0,100.0
NGA/000101,8634971,"2324433, 2332453, 2352776, 8634971",8634971,100.0,0.0
NGA/000104,2328926,2328926,2328926,100.0,0.0
NGA/000105,2328926,2328926,2328926,100.0,0.0
NGA/000106,2324828,2324828,2324828,100.0,0.0
NGA/000109,2328926,2328926,2328926,100.0,0.0
NGA/000110,2328926,2328926,2328926,100.0,0.0
NGA/000111,2328926,2328926,2328926,100.0,0.0
NGA/000112,2328926,2328926,2328926,100.0,0.0
NGA/000113,2328926,2328926,2328926,100.0,0.0
NGA/000114,,8051232,2328926,0.0,100.0
NGA/000115,2328926,2328926,2328926,100.0,0.0
NGA/000116,2328926,2328926,2328926,100.0,0.0
NGA/000117,2328926,2328926,2328926,100.0,0.0
NGA/000118,2328926,2328926,2328926,100.0,0.0
NGA/000119,2328926,2328926,2328926,100.0,0.0
NGA/000120,2328926,2328926,2328926,100.0,0.0
NGA/000121,2328926,2328926,2328926,100.0,0.0
NGA/000122,2328926,2328926,2328926,100.0,0.0
NGA/000123,2328926,2328926,2328926,100.0,0.0
NGA/000124,2328926,2328926,2328926,100.0,0.0
NGA/000125,2328926,2328926,2328926,100.0,0.0
NGA/000126,2349961,"2335196, 2345891, 2349961, 2565345, 2597365, 2597367",2349961,100.0,0.0
NGA/000128,2328926,2328926,2328926,100.0,0.0
NGA/000129,2328926,2328926,2328926,100.0,0.0
NGA/000131,2328926,"2324433, 2326168, 2328926, 2337542, 2350813, 2565340, 2595344",2328926,100.0,0.0
NGA/000132,2328926,2328926,2328926,100.0,0.0
